stopwords
것
수
차
앞
등
일
번
곳
말
시
때
년
길
월
중
거
분
내
전
글
원
쪽
데
옆
후
위
날
사
개
주
청
조
천
점
달
만
바
호
간
명
뒤
장
끝
식
땅
잠
속
측
게
걸
안
손
이
밑
줄
눈
반
구
애
금
대
듯
벽
건
편
밖
귀
남
씨
외
공
낮
제
방
산
선
통
관
발
오
배
부
입
초
미
급
증
폭
답
백
뻔
삼
압
나
테
몸
평
견
맘
목
돌
욕
십
회
책
팀
담
밥
봉
북
둘
처
터
뭘
열
억
실
승
뜻
김
예
양
창
옷
절
표
판
짓
민
군
체
포
피
빌
면
종
뷰
철
땐
짐
콘
리
기
휀
설
않
죄
량
둑
존
역
막
너
톤
교
땜
딸
저
색
힐
난
탓
겁
껀
골
칠
숨
트
덕
륙
복
움
홀
영
갑
팔
틈
박
정
료
밭
키
직
똥
암
홈
앤
유
얄
팬
약
침
좌
놈
뉴
덤
경
업
드
육
짝
브
화
탕
퀸
쌍
지
첨
폐
국
채
컷
꼴
겸
둥
촌
불
곡
플
녹
소
광
팟
느
칼
쥐
땀
떼
칩
카
티
본
칸
살
맛
벌
폰
잎
메
닭
턱
빵
질
운
항
댁
비
향
몫
펜
겨
투
히
궁
냥
버
블
틀
맷
환
앱
추
떡
묵
파
셈
샘
샷
망
윤
솔
럭
읍
션
고
끼
액
르
코
델
성
쌀
셋
노
뼈
텔
뿐
빽
합
혼
보
검
립
왕
척
낙
격
도
댓
림
순
인
ㅣ
송
넷
취
젖
폼
록
욜
논
과
니
디
워
해
베
벨
맹
섬
태
힙
상
혜
맥
랭
택
컴
앙
닌
극
빕
홍
겉
녘
충
랍
품
습
납
캔
캣
석
악
뇌
누
꺼
털
빔
냄
모
세
옴
마
첩
낯
룸
ㄱ
자
럽
ㄷ
묘
쇼
징
윈
윌
낫
균
적
족
빚
콜
뭐
근
패
접
힌
갯
텍
킥
빅
희
콩
독
곁
신
결
컵
뭣
컨
토
껑
ㄴ
엽
괘
효
뭍
학
ㅅ
당
엠
권
곰
례
웹
활
굿
협
웅
령
렸
연
득
싯
렉
흑
삽
곽
농
잔
젼
킵
축
규
옥
폴
황
닷
밍
샵
랫
객
형
듬
챠
츄
벗
흥
멋
닦
렌
횡
감
몰
텐
먹
짱
굴
낭
섭
탐
끗
룰
완
빠
띠
뱀
찌
룡
퇴
롯
붐
됀
렴
푼
범
훈
칡
촉
죤
녕
겻
딩
區
껌
ㅈ
릴
웰
벼
혈
펫
멧
최
몇
솥
흘
덫
쉽
싱
굽
쉼
쯩
겹
펀
돔
ㅂ
긁
닫
텀
매
핑
능
춘
윗
中
잇
흉
볼
참
줌
진
롱
휴
듸
엄
넉
짬
릉
췌
쉘
춤
싹
필
콤
쓰
련
닥
믈
톱
츠
롬
氏
염
볕
머
젠
윙
놓
봇
팝
랙
녀
크
륵
팽
푸
現
익
린
센
짚
렛
심
흠
럼
몃
뜰
돗
레
닝
탠
핼
탈
팩
붓
日
켓
넌
변
郡
빗
튀
켄
뚱
펌
펙
알
댐
찜
팜
못
칭
셉
뻣
랩
쇄
퀘
끈
휘
앰
여
갇
룩
섶
셔
죽
갱
쑈
봅
렁
뻥
뽁
딜
템
임
쌤
타
넋
깍
작
숫
뭔
얼
늣
첵
맣
쩍
한
뮤
캠
킹
켐
딘
씸
벤
뼘
뜸
찔
쥬
돤
뢰
훌
락
그
씬
숯
삿
탱
늠
乙
엿
붕
몽
캄
솜
맵
졍
헬
샙
곶
옹
숀
잉
널
右
첸
갗
샤
月
쒸
멈
덥
걔
팻
뺨
핫
램
셍
時
밋
깡
넝
ㅁ
융
홰
톳
씰
졸
쾌
韓
쥴
꼿
젯
멱
겔
곱
핏
金
륭
올
행
단
쌈
쿨
핵
