구,과,labels
부산진구,복지교육국 희망복지과,10
북구,복지교육국 복지정책과,10
사상구,복지환경국 복지정책과,10
사하구,주민복지국 복지정책과,10
서구,주민복지국 복지정책과,10
수영구,복지환경국 복지정책과,10
연제구,복지환경국 복지정책과,10
영도구,주민복지국 복지정책과,10
중구,경제복지국 복지정책과,10
해운대구,주민복지국 복지정책과,10
강서구,복지환경국 주민복지과,10
기장군,교육행복국 복지정책과,11
금정구,복지경제국 생활보장과,11
남구,복지교육국 생활보장과,11
동구,일자리복지국 생활보장과,11
동래구,경제복지국 생활보장과,11
부산진구,복지교육국 기초생활보장과,11
북구,복지교육국 생활보장과,11
사상구,복지환경국 생활보장과,11
사하구,주민복지국 생활보장과,11
서구,주민복지국 생활지원과,11
수영구,복지환경국 기초생활보장과,11
연제구,복지환경국 생활보장과,11
영도구,주민복지국 생활보장과,11
중구,경제복지국 생활보장과,11
해운대구,주민복지국 생활보장과,11
강서구,복지환경국 생활지원과,11
금정구,안전도시국 건설과,12
기장군,안전도시국 도시기반조성과,12
남구,안전도시국 건설과,12
동구,도시관리국 건설과,12
동래구,안전도시국 건설과,12
부산진구,도시관리국 건설과,12
북구,안전도시국 건설과,12
사상구,도시건설국 건설과,12
사하구,안전도시국 건설과,12
서구,안전도시국 건설과,12
수영구,안전도시국 건설과,12
연제구,안전도시국 건설과,12
영도구,도시안전국 건설과,12
중구,도시재생국 건설과,12
해운대구,교통건설국 건설과,12
강서구,도시개발국 건설과,12
금정구,안전도시국 건축과,13
기장군,안전도시국 창조건축과,13
남구,안전도시국 건축과,13
동구,도시관리국 건축과,13
동래구,안전도시국 건축과,13
부산진구,도시관리국 건축과,13
북구,안전도시국 건축과,13
사상구,도시건설국 건축과,13
사하구,안전도시국 건축과,13
서구,안전도시국 건축과,13
수영구,안전도시국 건축과,13
연제구,안전도시국 건축과,13
영도구,도시안전국 건축과,13
중구,도시재생국 재생건축과,13
해운대구,교통건설국 건축과,13
강서구,도시개발국 건축과,13
금정구,안전도시국 교통행정과,14
기장군,안전도시국 선진교통과,14
남구,안전도시국 교통행정과,14
동구,도시관리국 교통행정과,14
동래구,경제복지국 교통과,14
부산진구,안전교통국 교통행정과,14
북구,안전도시국 교통행정과,14
사상구,도시건설국 교통행정과,14
사하구,경제환경국 교통행정과,14
서구,안전도시국 교통행정과,14
수영구,안전도시국 교통행정과,14
연제구,안전도시국 교통행정과,14
영도구,도시안전국 교통과,14
중구,도시재생국 교통행정과,14
해운대구,교통건설국 교통행정과,14
강서구,경제산업국 교통행정과,14
금정구,안전도시국 공원녹지과,15
기장군,창조경제국 산림공원과,15
남구,일자리환경국 공원녹지과,15
동래구,안전도시국 녹지공원과,15
부산진구,도시관리국 공원녹지과,15
북구,주민생활지원국 공원녹지과,15
사상구,복지환경국 녹지공원과,15
사하구,안전도시국 산림녹지과,15
서구,주민복지국 경제녹지과,15
연제구,경제문화국 녹지공원과,15
해운대구,미래도시국 늘푸른과,15
강서구,경제산업국 녹지공원과,15
동구,일자리복지국 일자리경제과,15
수영구,복지환경국 일자리경제과,15
영도구,미래기획국 일자리경제과,15
중구,도시재생국 안전도시과,15
금정구,안전도시국 도시안전과,16
기장군,안전도시국 안전총괄과,16
남구,안전도시국 안전총괄과,16
동구,도시관리국 안전도시과,16
동래구,안전도시국 도시안전과,16
부산진구,안전교통국 안전도시과,16
북구,안전도시국 안전총괄과,16
사상구,도시건설국 도시안전과,16
사하구,안전도시국 안전총괄과,16
서구,안전도시국 구민안전과,16
수영구,안전도시국 안전관리과,16
연제구,안전도시국 도시안전과,16
영도구,도시안전국 도시안전과,16
중구,도시재생국 안전도시과,16
해운대구,미래도시국 안전총괄과,16
강서구,도시개발국 안전관리과,16
금정구,안전도시국 도시안전과,17
남구,안전도시국 안전총괄과,17
기장군,안전도시국 휴먼도시과,17
부산진구,안전교통국 도시정비과,17
북구,안전도시국 도시관리과,17
사하구,안전도시국 도시정비과,17
수영구,안전도시국 도시관리과,17
해운대구,미래도시국 도시관리과,17
동구,도시관리국 안전도시과,17
동래구,안전도시국 도시안전과,17
사상구,도시건설국 도시안전과,17
서구,안전도시국 구민안전과,17
연제구,안전도시국 도시안전과,17
영도구,도시안전국 도시안전과,17
강서구,도시개발국 도시정비과,17
중구,도시재생국 안전도시과,17
기장군,안전도시국 창조건축과,18
금정구,안전도시국 도시재생과,18
남구,일자리환경국 도시재생과,18
동구,도시관리국 도시전략재생과,18
동래구,안전도시국 도시재생과,18
부산진구,도시관리국 도시재생과,18
북구,안전도시국 도시재생과,18
사상구,도시건설국 도시재생과,18
사하구,안전도시국 도시재생과,18
서구,안전도시국 창조도시과,18
연제구,안전도시국 도시재생과,18
영도구,미래기획국 도시재생과,18
해운대구,미래도시국 도시재생과,18
수영구,창조도시교육추진단,18
강서구,도시개발국 건축과,18
중구,도시재생국 재생건축과,18
금정구,안전도시국 토지정보과,19
기장군,안전도시국 토지정보과,19
남구,안전도시국 토지정보과,19
동구,도시관리국 토지정보과,19
동래구,문화환경국 토지정보과,19
부산진구,도시관리국 토지정보과,19
북구,주민생활지원국 토지정보과,19
사상구,도시건설국 토지정보과,19
사하구,경제환경국 토지정보과,19
서구,안전도시국 토지관리과,19
수영구,안전도시국 토지정보과,19
연제구,안전도시국 토지정보과,19
영도구,행정관리국 토지정보과,19
해운대구,교통건설국 토지정보과,19
중구,도시재생국 건설과,19
강서구,도시개발국 토지정보과,19
금정구,보건소 보건행정과,20
기장군,보건소 보건행정과,20
남구,보건소 보건정책과,20
동구,보건소 보건행정과,20
동래구,보건소 보건행정과,20
부산진구,보건소 보건행정과,20
북구,보건소 보건행정과,20
사상구,보건소 보건행정과,20
사하구,보건소 보건행정과,20
서구,보건소 보건행정과,20
수영구,보건소 보건행정과,20
연제구,보건소 보건행정과,20
영도구,보건소 보건행정과,20
중구,보건소 보건과,20
해운대구,보건소 보건행정과,20
강서구,보건소 보건행정과,20
금정구,복지경제국 여성가족과,21
기장군,교육행복국 행복나눔과,21
남구,복지교육국 주민복지과,21
동래구,경제복지국 주민복지과,21
부산진구,복지교육국 노인장애인복지과,21
북구,복지교육국 주민복지과,21
사하구,주민복지국 복지사업과,21
서구,주민복지국 가족행복과,21
수영구,복지환경국 가족행복과,21
연제구,복지환경국 가정복지과,21
영도구,주민복지국 복지사업과,21
중구,경제복지국 가족행복과,21
해운대구,주민복지국 가족복지과,21
강서구,복지환경국 주민복지과,21
동구,일자리복지국 복지지원과,21
사상구,복지환경국 복지정책과,21
금정구,동 행정복지센터,22
기장군,읍면,22
남구,행정복지센터,22
동구,동,22
동래구,행정복지센터,22
부산진구,동주민센터,22
북구,행정복지센터,22
사상구,동 행정복지센터,22
사하구,행정복지센터,22
서구,동주민센터,22
수영구,행정복지센터,22
연제구,동 행정복지센터,22
영도구,행정복지센터,22
중구,동주민센터,22
해운대구,동주민센터,22
강서구,동주민센터,22
